"Start Time,""Period (min)"",""NE Name"",""FEGE"",""VS.FEGE.RXMEANSPEED (kbit/s)"",""VS.FEGE.TXMEANSPEED (kbit/s)"""
"04/19/2018 05:30:00,30,KTPHR07,""PN=0, SN=19, SRN=0"",1.133,1.023"
"04/19/2018 05:30:00,30,KTPHR07,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 06:00:00,30,KTPHR04,""PN=1, SN=23, SRN=0"",5.035,0.256"
"04/19/2018 06:00:00,30,KTPHR04,""PN=0, SN=23, SRN=0"",5.337,0.261"
"04/19/2018 06:00:00,30,KTPHR04,""PN=0, SN=18, SRN=0"",46138.407,112029.196"
"04/19/2018 06:00:00,30,KTPHR04,""PN=1, SN=22, SRN=0"",88461.288,14546.435"
"04/19/2018 06:00:00,30,KTPHR04,""PN=0, SN=22, SRN=0"",1437.716,1227.33"
"04/19/2018 06:00:00,30,KTPHR04,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 06:00:00,30,KTPHR04,""PN=0, SN=19, SRN=0"",1.021,1.021"
"04/19/2018 06:00:00,30,KTPHR04,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 06:00:00,30,KTPHR05,""PN=1, SN=22, SRN=0"",5.037,0.256"
"04/19/2018 06:00:00,30,KTPHR05,""PN=0, SN=22, SRN=0"",5.337,0.261"
"04/19/2018 06:00:00,30,KTPHR05,""PN=0, SN=18, SRN=0"",99983.255,245848.297"
"04/19/2018 06:00:00,30,KTPHR05,""PN=1, SN=23, SRN=0"",196904.285,35625.869"
"04/19/2018 06:00:00,30,KTPHR05,""PN=0, SN=23, SRN=0"",4338.099,2942.553"
"04/19/2018 06:00:00,30,KTPHR05,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 06:00:00,30,KTPHR05,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 06:00:00,30,KTPHR05,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 06:00:00,30,KTPHR02,""PN=0, SN=19, SRN=0"",100153.414,237810.394"
"04/19/2018 06:00:00,30,KTPHR02,""PN=0, SN=18, SRN=0"",1.024,1.023"
"04/19/2018 06:00:00,30,KTPHR02,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 06:00:00,30,KTPHR02,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 06:00:00,30,KTPHR02,""PN=1, SN=23, SRN=0"",186187.687,29581.544"
"04/19/2018 06:00:00,30,KTPHR02,""PN=0, SN=23, SRN=0"",3746.307,3086.893"
"04/19/2018 06:00:00,30,KTPHR02,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 06:00:00,30,KTPHR02,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 06:00:00,30,KTPHR07,""PN=0, SN=18, SRN=0"",64796.433,150814.817"
"04/19/2018 06:00:00,30,KTPHR07,""PN=0, SN=23, SRN=0"",3457.346,2931.628"
"04/19/2018 06:00:00,30,KTPHR07,""PN=0, SN=22, SRN=0"",5.335,0.261"
"04/19/2018 06:00:00,30,KTPHR07,""PN=1, SN=22, SRN=0"",5.034,0.256"
"04/19/2018 06:00:00,30,KTPHR07,""PN=1, SN=23, SRN=0"",118926.24,23771.308"
"04/19/2018 06:00:00,30,KTPHR07,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 06:00:00,30,KTPHR07,""PN=0, SN=19, SRN=0"",1.133,1.024"
"04/19/2018 06:00:00,30,KTPHR07,""PN=1, SN=18, SRN=0"",0,0"
